,language,position,gender_tuned,income_level,price
175,Hebrew,2,female,43592.08358,45
176,Hebrew,8,female,43592.08358,36
177,Hebrew,3,female,43592.08358,42
178,Hebrew,7,female,43592.08358,30
179,Hebrew,6,female,16054.5,15
180,Hebrew,5,female,43592.08358,48
181,Hebrew,1,male,43592.08358,48
182,Hebrew,10,female,43592.08358,36
183,Hebrew,4,male,65297.51751,24
184,Hindi,9,female,2099.599048,12
185,Hindi,14,female,2099.599048,21
186,Hindi,2,female,65297.51751,21
187,Hindi,13,female,2099.599048,15
188,Hindi,11,male,2099.599048,18
189,Hindi,8,female,2099.599048,9
190,Hindi,12,male,2099.599048,30
191,Hindi,3,female,2099.599048,21
192,Hindi,7,male,2099.599048,18
193,Hindi,6,female,2099.599048,18
194,Hindi,15,male,2099.599048,15
195,Hindi,5,male,2099.599048,15
196,Hindi,1,male,2099.599048,15
197,Hindi,10,male,2099.599048,9
198,Hindi,4,male,2099.599048,15
199,Romanian,9,male,12919.52964,18
200,Romanian,2,female,12919.52964,30
201,Romanian,13,female,12919.52964,27
202,Romanian,11,female,12919.52964,30
203,Romanian,8,female,12919.52964,21
204,Romanian,3,female,4503.516985,27
205,Romanian,12,male,65297.51751,18
206,Romanian,7,female,12919.52964,30
207,Romanian,6,male,12919.52964,21
208,Romanian,5,female,4503.516985,15
209,Romanian,1,female,12919.52964,27
210,Romanian,10,female,12919.52964,33
211,Romanian,4,female,12919.52964,18
212,Persian,21,male,5550.060957,12
213,Persian,18,male,65297.51751,15
214,Persian,2,female,5550.060957,39
215,Persian,23,male,5550.060957,39
216,Persian,5,female,5550.060957,24
217,Persian,1,female,46445.2491,18
218,Persian,4,male,5550.060957,6
219,Persian,16,female,4697.704576,21
220,Persian,11,female,5550.060957,12
221,Persian,8,female,5550.060957,15
222,Persian,3,male,5550.060957,27
223,Persian,19,female,65297.51751,24
224,Persian,10,female,5550.060957,15
225,Persian,22,female,5550.060957,12
226,Persian,20,male,5550.060957,15
227,Persian,7,female,5550.060957,9
228,Persian,6,female,4697.704576,9
229,Persian,15,female,65297.51751,18
230,Persian,9,female,5550.060957,15
231,Persian,14,female,5550.060957,9
232,Persian,13,female,5550.060957,15
233,Persian,17,female,5550.060957,30
234,Persian,12,female,5550.060957,12
235,Dutch,18,female,52331.31673,18
236,Dutch,16,male,52331.31673,27
237,Dutch,9,female,46420.66377,27
238,Dutch,14,male,46420.66377,15
239,Dutch,2,female,52331.31673,21
240,Dutch,13,male,52331.31673,27
241,Dutch,11,female,46420.66377,24
242,Dutch,8,male,46420.66377,18
243,Dutch,12,male,46420.66377,27
244,Dutch,3,female,52331.31673,36
245,Dutch,7,male,46420.66377,36
246,Dutch,6,male,52331.31673,15
247,Dutch,15,female,52331.31673,39
248,Dutch,5,female,46420.66377,30
249,Dutch,1,female,46420.66377,39
250,Dutch,10,female,46420.66377,0
251,Dutch,17,female,46420.66377,39
252,Dutch,4,male,52331.31673,0
253,Indonesian,18,male,4135.569263,9
254,Indonesian,9,female,4135.569263,12
255,Indonesian,14,male,4135.569263,9
256,Indonesian,2,male,4135.569263,9
257,Indonesian,13,female,4135.569263,12
258,Indonesian,11,female,4135.569263,9
259,Indonesian,8,male,4135.569263,9
260,Indonesian,12,female,4135.569263,9
261,Indonesian,3,female,4135.569263,9
262,Indonesian,7,female,4135.569263,15
263,Indonesian,6,female,4135.569263,6
264,Indonesian,15,female,4135.569263,12
265,Indonesian,5,female,4135.569263,12
266,Indonesian,1,female,4135.569263,18
267,Indonesian,10,female,4135.569263,9
268,Indonesian,17,male,4135.569263,24
269,Indonesian,4,female,4135.569263,12
270,Italian,21,female,33228.23668,21
271,Italian,18,male,33228.23668,9
272,Italian,94,male,33228.23668,24
273,Italian,130,female,33228.23668,69
